"United States - US Consumer Price Index - CPI-U all items 1982-1984=100, not seasonally adjusted"
"Year","Period","Consumer Price Index","Over-the-Year Percent Change","Over-the-Month Percent Change"
"2023","April","303.4","4.9%","0.5%"
"2023","March","301.8","5.0%","0.3%"
"2023","February","300.8","6.0%","0.6%"
"2023","January","299.2","6.4%","0.8%"
"2022","December","296.8","6.5%","-0.3%"
"2022","November","297.7","7.1%","-0.1%"
"2022","October","298.0","7.7%","0.4%"
"2022","September","296.8","8.2%","0.2%"
"2022","August","296.2","8.3%","0.0%"
"2022","July","296.3","8.5%","0.0%"
"2022","June","296.3","9.1%","1.4%"
"2022","May","292.3","8.6%","1.1%"
"2022","April","289.1","8.3%","0.6%"
"2022","March","287.5","8.5%","1.3%"
"2022","February","283.7","7.9%","0.9%"
"2022","January","281.1","7.5%","0.8%"
"2021","December","278.8","7.0%","0.3%"
"2021","November","277.9","6.8%","0.5%"
"2021","October","276.6","6.2%","0.8%"
"2021","September","273.6","5.3%","0.2%"
"2021","August","273.6","5.3%","0.2%"
"2021","July","273.0","5.4%","0.5%"
"2021","June","271.7","5.4%","0.9%"
"2021","May","269.2","5.0%","0.8%"
"2021","April","267.1","4.2%","0.8%"
"2021","March","264.9","2.6%","0.7%"
"2021","February","263.0","1.7%","0.5%"
"2021","January","261.6","1.4%","0.4%"
"2020","December","260.5","1.4%","0.1%"
"2020","November","260.2","1.2%","-0.1%"
"2020","October","260.4","1.2%","0.0%"
"2020","September","260.3","1.4%","0.1%"
"2020","August","259.9","1.3%","0.3%"
"2020","July","259.1","1.0%","0.5%"
"2020","June","257.8","0.6%","0.5%"
"2020","May","256.4","0.1%","0.0%"
"2020","April","256.4","0.3%","-0.7%"
"2020","March","258.1","1.5%","-0.2%"
"2020","February","258.7","2.3%","0.3%"
"2020","January","258.0","2.5%","0.4%"
"2019","December","257.0","2.3%","-0.1%"
"2019","November","257.2","2.1%","-0.1%"
"2019","October","257.3","1.8%","0.2%"
"2019","September","256.8","1.7%","0.1%"
"2019","August","256.6","1.7%","0.0%"
"2019","July","256.6","1.8%","0.2%"
"2019","June","256.1","1.6%","0.0%"
"2019","May","256.1","1.8%","0.2%"
"2019","April","255.5","2.0%","0.5%"
"2019","March","254.2","1.9%","0.6%"
"2019","February","252.8","1.5%","0.4%"
"2019","January","251.7","1.6%","0.2%"
"2018","December","251.2","1.9%","-0.3%"
"2018","November","252.0","2.2%","-0.3%"
"2018","October","252.9","2.5%","0.2%"
"2018","September","252.4","2.3%","0.1%"
"2018","August","252.1","2.7%","0.1%"
"2018","July","252.0","2.9%","0.0%"
"2018","June","252.0","2.9%","0.2%"
"2018","May","251.6","2.8%","0.4%"
